0 2925000 xx^xx-sil+m=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:13_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_18/K:1+2-18
2925000 3425000 xx^sil-m+a=r/A:0+1+13/B:xx-xx_xx/C:18_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:13_1#0_xx@1_2|1_18/G:5_3%0_xx_1/H:xx_xx/I:2-18@1+1&1-2|1+18/J:xx_xx/K:1+2-18
3425000 3925000 sil^m-a+r=i/A:0+1+13/B:xx-xx_xx/C:18_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:13_1#0_xx@1_2|1_18/G:5_3%0_xx_1/H:xx_xx/I:2-18@1+1&1-2|1+18/J:xx_xx/K:1+2-18
3925000 4425000 m^a-r+i=a/A:1+2+12/B:xx-xx_xx/C:18_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:13_1#0_xx@1_2|1_18/G:5_3%0_xx_1/H:xx_xx/I:2-18@1+1&1-2|1+18/J:xx_xx/K:1+2-18
4425000 5625000 a^r-i+a=a/A:1+2+12/B:xx-xx_xx/C:18_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:13_1#0_xx@1_2|1_18/G:5_3%0_xx_1/H:xx_xx/I:2-18@1+1&1-2|1+18/J:xx_xx/K:1+2-18
5625000 6825000 r^i-a+a=N/A:2+3+11/B:xx-xx_xx/C:18_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:13_1#0_xx@1_2|1_18/G:5_3%0_xx_1/H:xx_xx/I:2-18@1+1&1-2|1+18/J:xx_xx/K:1+2-18
6825000 7325000 i^a-a+N=s/A:3+4+10/B:xx-xx_xx/C:18_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:13_1#0_xx@1_2|1_18/G:5_3%0_xx_1/H:xx_xx/I:2-18@1+1&1-2|1+18/J:xx_xx/K:1+2-18
7325000 8525000 a^a-N+s=u/A:4+5+9/B:18-xx_xx/C:09_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:13_1#0_xx@1_2|1_18/G:5_3%0_xx_1/H:xx_xx/I:2-18@1+1&1-2|1+18/J:xx_xx/K:1+2-18
8525000 8825000 a^N-s+u=k/A:5+6+8/B:18-xx_xx/C:09_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:13_1#0_xx@1_2|1_18/G:5_3%0_xx_1/H:xx_xx/I:2-18@1+1&1-2|1+18/J:xx_xx/K:1+2-18
8825000 9225000 N^s-u+k=e/A:5+6+8/B:18-xx_xx/C:09_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:13_1#0_xx@1_2|1_18/G:5_3%0_xx_1/H:xx_xx/I:2-18@1+1&1-2|1+18/J:xx_xx/K:1+2-18
9225000 11425000 s^u-k+e=e/A:6+7+7/B:18-xx_xx/C:09_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:13_1#0_xx@1_2|1_18/G:5_3%0_xx_1/H:xx_xx/I:2-18@1+1&1-2|1+18/J:xx_xx/K:1+2-18
