0 5225000 xx^xx-sil+f=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:10_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_20/K:1+3-20
5225000 6025000 xx^sil-f+a=sh/A:-4+1+10/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_3|1_20/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
6025000 6525000 sil^f-a+sh=i/A:-4+1+10/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_3|1_20/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
6525000 7725000 f^a-sh+i=z/A:-3+2+9/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_3|1_20/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
7725000 8425000 a^sh-i+z=u/A:-3+2+9/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_3|1_20/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
8425000 8925000 sh^i-z+u=m/A:-2+3+8/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_3|1_20/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
8925000 9325000 i^z-u+m=u/A:-2+3+8/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_3|1_20/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
9325000 9725000 z^u-m+u=s/A:-1+4+7/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_3|1_20/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
9725000 10325000 u^m-u+s=e/A:-1+4+7/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_3|1_20/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
10325000 11425000 m^u-s+e=e/A:0+5+6/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_3|1_20/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
11425000 12825000 u^s-e+e=ry/A:0+5+6/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_3|1_20/G:7_3%0_xx_1/H:xx_xx/I:3-20@1+1&1-3|1+20/J:xx_xx/K:1+3-20
