0 1625000 xx^xx-sil+h=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_3/K:3+7-27
1625000 2225000 xx^sil-h+o=r/A:-1+1+3/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_1|1_3/G:2_1%0_xx_0/H:xx_xx/I:1-3@1+3&1-7|1+27/J:1_2/K:3+7-27
2225000 2925000 sil^h-o+r=u/A:-1+1+3/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_1|1_3/G:2_1%0_xx_0/H:xx_xx/I:1-3@1+3&1-7|1+27/J:1_2/K:3+7-27
2925000 4125000 h^o-r+u=r/A:0+2+2/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_1|1_3/G:2_1%0_xx_0/H:xx_xx/I:1-3@1+3&1-7|1+27/J:1_2/K:3+7-27
4125000 4625000 o^r-u+r=o/A:0+2+2/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_1|1_3/G:2_1%0_xx_0/H:xx_xx/I:1-3@1+3&1-7|1+27/J:1_2/K:3+7-27
4625000 5125000 r^u-r+o=pau/A:1+3+1/B:18-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_1|1_3/G:2_1%0_xx_0/H:xx_xx/I:1-3@1+3&1-7|1+27/J:1_2/K:3+7-27
5125000 6625000 u^r-o+pau=a/A:1+3+1/B:18-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_1|1_3/G:2_1%0_xx_0/H:xx_xx/I:1-3@1+3&1-7|1+27/J:1_2/K:3+7-27
6625000 7825000 r^o-pau+a=r/A:xx+xx+xx/B:18-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:3_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_1%0_xx_xx/H:1_3/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_2/K:3+7-27
7825000 8125000 o^pau-a+r=a/A:0+1+2/B:18-xx_xx/C:02_xx+xx/D:09+xx_xx/E:3_2!0_xx-0/F:2_1#0_xx@1_1|1_2/G:6_1%0_xx_0/H:1_3/I:1-2@2+2&2-6|4+24/J:5_22/K:3+7-27
8125000 9925000 pau^a-r+a=pau/A:1+2+1/B:18-xx_xx/C:02_xx+xx/D:09+xx_xx/E:3_2!0_xx-0/F:2_1#0_xx@1_1|1_2/G:6_1%0_xx_0/H:1_3/I:1-2@2+2&2-6|4+24/J:5_22/K:3+7-27
9925000 11625000 a^r-a+pau=t/A:1+2+1/B:18-xx_xx/C:02_xx+xx/D:09+xx_xx/E:3_2!0_xx-0/F:2_1#0_xx@1_1|1_2/G:6_1%0_xx_0/H:1_3/I:1-2@2+2&2-6|4+24/J:5_22/K:3+7-27
11625000 12325000 r^a-pau+t=i/A:xx+xx+xx/B:02-xx_xx/C:xx_xx+xx/D:09+xx_xx/E:2_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_1%0_xx_xx/H:1_2/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_22/K:3+7-27
