0 2025000 xx^xx-sil+s=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_26/K:1+6-26
2025000 3425000 xx^sil-s+a=N/A:-3+1+6/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_6|1_26/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
3425000 4425000 sil^s-a+N=g/A:-3+1+6/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_6|1_26/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
4425000 5024999 s^a-N+g=o/A:-2+2+5/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_6|1_26/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
5024999 5325000 a^N-g+o=k/A:-1+3+4/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_6|1_26/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
5325000 6225000 N^g-o+k=u/A:-1+3+4/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_6|1_26/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
6225000 6925000 g^o-k+u=sh/A:0+4+3/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_6|1_26/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
6925000 7225000 o^k-u+sh=i/A:0+4+3/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_6|1_26/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
7225000 8125000 k^u-sh+i=n/A:1+5+2/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_6|1_26/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
8125000 8425000 u^sh-i+n=o/A:1+5+2/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_6|1_26/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
8425000 9025000 sh^i-n+o=k/A:2+6+1/B:18-xx_xx/C:23_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_6|1_26/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
9025000 9825000 i^n-o+k=a/A:2+6+1/B:18-xx_xx/C:23_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_6|1_26/G:4_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
9825000 10825000 n^o-k+a=N/A:0+1+4/B:23-xx_xx/C:18_xx+xx/D:13+xx_xx/E:6_4!0_xx-1/F:4_1#0_xx@2_5|7_20/G:2_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
10825000 11725000 o^k-a+N=u/A:0+1+4/B:23-xx_xx/C:18_xx+xx/D:13+xx_xx/E:6_4!0_xx-1/F:4_1#0_xx@2_5|7_20/G:2_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
