0 4325000 xx^xx-sil+sh=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_19/K:1+7-19
4325000 5925000 xx^sil-sh+i=b/A:-1+1+4/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_7|1_19/G:2_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
5925000 6225000 sil^sh-i+b=a/A:-1+1+4/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_7|1_19/G:2_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
6225000 6625000 sh^i-b+a=r/A:0+2+3/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_7|1_19/G:2_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
6625000 7425000 i^b-a+r=a/A:0+2+3/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_7|1_19/G:2_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
7425000 7725000 b^a-r+a=k/A:1+3+2/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_7|1_19/G:2_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
7725000 8525000 a^r-a+k=u/A:1+3+2/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_7|1_19/G:2_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
8525000 9225000 r^a-k+u=sh/A:2+4+1/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_7|1_19/G:2_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
9225000 9525000 a^k-u+sh=I/A:2+4+1/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_7|1_19/G:2_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
9525000 10525000 k^u-sh+I=t/A:-1+1+2/B:06-xx_xx/C:20_4+1/D:12+xx_xx/E:4_2!0_xx-1/F:2_2#0_xx@2_6|5_15/G:2_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
10525000 10825000 u^sh-I+t=e/A:-1+1+2/B:06-xx_xx/C:20_4+1/D:12+xx_xx/E:4_2!0_xx-1/F:2_2#0_xx@2_6|5_15/G:2_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
10825000 11125000 sh^I-t+e=p/A:0+2+1/B:20-4_1/C:12_xx+xx/D:06+xx_xx/E:4_2!0_xx-1/F:2_2#0_xx@2_6|5_15/G:2_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
11125000 11924999 I^t-e+p=a/A:0+2+1/B:20-4_1/C:12_xx+xx/D:06+xx_xx/E:4_2!0_xx-1/F:2_2#0_xx@2_6|5_15/G:2_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
11924999 12625000 t^e-p+a=ch/A:-1+1+2/B:12-xx_xx/C:06_xx+xx/D:06+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@3_5|7_13/G:3_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
12625000 13425000 e^p-a+ch=i/A:-1+1+2/B:12-xx_xx/C:06_xx+xx/D:06+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@3_5|7_13/G:3_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
13425000 14225000 p^a-ch+i=p/A:0+2+1/B:12-xx_xx/C:06_xx+xx/D:06+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@3_5|7_13/G:3_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
14225000 14524999 a^ch-i+p=a/A:0+2+1/B:12-xx_xx/C:06_xx+xx/D:06+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@3_5|7_13/G:3_2%0_xx_1/H:xx_xx/I:7-19@1+1&1-7|1+19/J:xx_xx/K:1+7-19
