0 2025000 xx^xx-sil+s=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_10/K:3+9-40
2025000 3425000 xx^sil-s+a=i/A:-2+1+3/B:xx-xx_xx/C:02_xx+xx/D:01+7_1/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_2|1_10/G:7_2%0_xx_1/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
3425000 4225000 sil^s-a+i=sh/A:-2+1+3/B:xx-xx_xx/C:02_xx+xx/D:01+7_1/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_2|1_10/G:7_2%0_xx_1/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
4225000 4525000 s^a-i+sh=o/A:-1+2+2/B:xx-xx_xx/C:02_xx+xx/D:01+7_1/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_2|1_10/G:7_2%0_xx_1/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
4525000 5325000 a^i-sh+o=k/A:0+3+1/B:xx-xx_xx/C:02_xx+xx/D:01+7_1/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_2|1_10/G:7_2%0_xx_1/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
5325000 5925000 i^sh-o+k=a/A:0+3+1/B:xx-xx_xx/C:02_xx+xx/D:01+7_1/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_2|1_10/G:7_2%0_xx_1/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
5925000 7125000 sh^o-k+a=r/A:-1+1+7/B:02-xx_xx/C:01_7+1/D:10+7_2/E:3_3!0_xx-1/F:7_2#0_xx@2_1|4_7/G:3_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
7125000 7425000 o^k-a+r=a/A:-1+1+7/B:02-xx_xx/C:01_7+1/D:10+7_2/E:3_3!0_xx-1/F:7_2#0_xx@2_1|4_7/G:3_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
7425000 7825000 k^a-r+a=k/A:0+2+6/B:02-xx_xx/C:01_7+1/D:10+7_2/E:3_3!0_xx-1/F:7_2#0_xx@2_1|4_7/G:3_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
7825000 8525000 a^r-a+k=a/A:0+2+6/B:02-xx_xx/C:01_7+1/D:10+7_2/E:3_3!0_xx-1/F:7_2#0_xx@2_1|4_7/G:3_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
8525000 9025000 r^a-k+a=cl/A:1+3+5/B:02-xx_xx/C:01_7+1/D:10+7_2/E:3_3!0_xx-1/F:7_2#0_xx@2_1|4_7/G:3_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
9025000 9725000 a^k-a+cl=t/A:1+3+5/B:02-xx_xx/C:01_7+1/D:10+7_2/E:3_3!0_xx-1/F:7_2#0_xx@2_1|4_7/G:3_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
9725000 10325000 k^a-cl+t=a/A:2+4+4/B:02-xx_xx/C:01_7+1/D:10+7_2/E:3_3!0_xx-1/F:7_2#0_xx@2_1|4_7/G:3_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
10325000 10725000 a^cl-t+a=k/A:3+5+3/B:01-7_1/C:10_7+2/D:12+xx_xx/E:3_3!0_xx-1/F:7_2#0_xx@2_1|4_7/G:3_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
10725000 11225000 cl^t-a+k=e/A:3+5+3/B:01-7_1/C:10_7+2/D:12+xx_xx/E:3_3!0_xx-1/F:7_2#0_xx@2_1|4_7/G:3_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
11225000 11725000 t^a-k+e=d/A:4+6+2/B:10-7_2/C:12_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:7_2#0_xx@2_1|4_7/G:3_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
11725000 12425000 a^k-e+d=o/A:4+6+2/B:10-7_2/C:12_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:7_2#0_xx@2_1|4_7/G:3_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
12425000 12725000 k^e-d+o=pau/A:5+7+1/B:10-7_2/C:12_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:7_2#0_xx@2_1|4_7/G:3_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
12725000 14825000 e^d-o+pau=h/A:5+7+1/B:10-7_2/C:12_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:7_2#0_xx@2_1|4_7/G:3_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-9|1+40/J:3_15/K:3+9-40
14825000 16425000 d^o-pau+h=a/A:xx+xx+xx/B:12-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:7_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_2%0_xx_xx/H:2_10/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_15/K:3+9-40
16425000 17425000 o^pau-h+a=n/A:-1+1+3/B:12-xx_xx/C:02_xx+xx/D:23+xx_xx/E:7_2!0_xx-0/F:3_2#0_xx@1_3|1_15/G:5_5%0_xx_1/H:2_10/I:3-15@2+2&3-7|11+30/J:4_15/K:3+9-40
17425000 17825000 pau^h-a+n=a/A:-1+1+3/B:12-xx_xx/C:02_xx+xx/D:23+xx_xx/E:7_2!0_xx-0/F:3_2#0_xx@1_3|1_15/G:5_5%0_xx_1/H:2_10/I:3-15@2+2&3-7|11+30/J:4_15/K:3+9-40
17825000 18425000 h^a-n+a=y/A:0+2+2/B:12-xx_xx/C:02_xx+xx/D:23+xx_xx/E:7_2!0_xx-0/F:3_2#0_xx@1_3|1_15/G:5_5%0_xx_1/H:2_10/I:3-15@2+2&3-7|11+30/J:4_15/K:3+9-40
18425000 18825000 a^n-a+y=a/A:0+2+2/B:12-xx_xx/C:02_xx+xx/D:23+xx_xx/E:7_2!0_xx-0/F:3_2#0_xx@1_3|1_15/G:5_5%0_xx_1/H:2_10/I:3-15@2+2&3-7|11+30/J:4_15/K:3+9-40
18825000 20025000 n^a-y+a=e/A:1+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:7_2!0_xx-0/F:3_2#0_xx@1_3|1_15/G:5_5%0_xx_1/H:2_10/I:3-15@2+2&3-7|11+30/J:4_15/K:3+9-40
20025000 20724999 a^y-a+e=N/A:1+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:7_2!0_xx-0/F:3_2#0_xx@1_3|1_15/G:5_5%0_xx_1/H:2_10/I:3-15@2+2&3-7|11+30/J:4_15/K:3+9-40
20724999 22025000 y^a-e+N=g/A:-4+1+5/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:5_5#0_xx@2_2|4_12/G:7_2%0_xx_1/H:2_10/I:3-15@2+2&3-7|11+30/J:4_15/K:3+9-40
22025000 23224999 a^e-N+g=e/A:-3+2+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:5_5#0_xx@2_2|4_12/G:7_2%0_xx_1/H:2_10/I:3-15@2+2&3-7|11+30/J:4_15/K:3+9-40
