0 3225000 xx^xx-sil+s=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:9_7%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_27/K:1+5-27
3225000 4625000 xx^sil-s+a=N/A:-6+1+9/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:9_7#0_xx@1_5|1_27/G:3_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
4625000 5325000 sil^s-a+N=k/A:-6+1+9/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:9_7#0_xx@1_5|1_27/G:3_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
5325000 6025000 s^a-N+k=a/A:-5+2+8/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:9_7#0_xx@1_5|1_27/G:3_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
6025000 6825000 a^N-k+a=k/A:-4+3+7/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:9_7#0_xx@1_5|1_27/G:3_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
6825000 7625000 N^k-a+k=U/A:-4+3+7/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:9_7#0_xx@1_5|1_27/G:3_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
7625000 8225000 k^a-k+U=k/A:-3+4+6/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:9_7#0_xx@1_5|1_27/G:3_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
8225000 8525000 a^k-U+k=a/A:-3+4+6/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:9_7#0_xx@1_5|1_27/G:3_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
8525000 9325000 k^U-k+a=N/A:-2+5+5/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:9_7#0_xx@1_5|1_27/G:3_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
9325000 10325000 U^k-a+N=s/A:-2+5+5/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:9_7#0_xx@1_5|1_27/G:3_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
10325000 10625000 k^a-N+s=u/A:-1+6+4/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:9_7#0_xx@1_5|1_27/G:3_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
10625000 12024999 a^N-s+u=u/A:0+7+3/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:9_7#0_xx@1_5|1_27/G:3_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
12024999 12525000 N^s-u+u=n/A:0+7+3/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:9_7#0_xx@1_5|1_27/G:3_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
12525000 12825000 s^u-u+n=i/A:1+8+2/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:9_7#0_xx@1_5|1_27/G:3_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
12825000 13425000 u^u-n+i=o/A:2+9+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:xx_xx!xx_xx-xx/F:9_7#0_xx@1_5|1_27/G:3_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
13425000 13925000 u^n-i+o=i/A:2+9+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:xx_xx!xx_xx-xx/F:9_7#0_xx@1_5|1_27/G:3_1%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
13925000 15225000 n^i-o+i=t/A:0+1+3/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:9_7!0_xx-1/F:3_1#0_xx@2_4|10_18/G:6_3%0_xx_1/H:xx_xx/I:5-27@1+1&1-5|1+27/J:xx_xx/K:1+5-27
