0 5625000 xx^xx-sil+s=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_22/K:2+10-35
5625000 6625000 xx^sil-s+o=n/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_7|1_22/G:3_3%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
6625000 7225000 sil^s-o+n=o/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_7|1_22/G:3_3%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
7225000 7625000 s^o-n+o=h/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_7|1_22/G:3_3%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
7625000 8225000 o^n-o+h=o/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_7|1_22/G:3_3%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
8225000 8625000 n^o-h+o=k/A:-2+1+3/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:3_3#0_xx@2_6|3_20/G:4_4%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
8625000 9525000 o^h-o+k=a/A:-2+1+3/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:3_3#0_xx@2_6|3_20/G:4_4%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
9525000 10025000 h^o-k+a=n/A:-1+2+2/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:3_3#0_xx@2_6|3_20/G:4_4%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
10025000 10625000 o^k-a+n=i/A:-1+2+2/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:3_3#0_xx@2_6|3_20/G:4_4%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
10625000 11625000 k^a-n+i=w/A:0+3+1/B:02-xx_xx/C:13_xx+xx/D:04+xx_xx/E:2_2!0_xx-1/F:3_3#0_xx@2_6|3_20/G:4_4%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
11625000 13025000 a^n-i+w=a/A:0+3+1/B:02-xx_xx/C:13_xx+xx/D:04+xx_xx/E:2_2!0_xx-1/F:3_3#0_xx@2_6|3_20/G:4_4%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
13025000 13525000 n^i-w+a=t/A:-3+1+4/B:13-xx_xx/C:04_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@3_5|6_17/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
13525000 14125000 i^w-a+t=a/A:-3+1+4/B:13-xx_xx/C:04_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@3_5|6_17/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
14125000 14625000 w^a-t+a=sh/A:-2+2+3/B:13-xx_xx/C:04_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@3_5|6_17/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
14625000 15225000 a^t-a+sh=i/A:-2+2+3/B:13-xx_xx/C:04_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@3_5|6_17/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
15225000 16225000 t^a-sh+i=n/A:-1+3+2/B:13-xx_xx/C:04_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@3_5|6_17/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
16225000 16625000 a^sh-i+n=i/A:-1+3+2/B:13-xx_xx/C:04_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@3_5|6_17/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
16625000 17125000 sh^i-n+i=d/A:0+4+1/B:04-xx_xx/C:13_xx+xx/D:20+3_2/E:3_3!0_xx-1/F:4_4#0_xx@3_5|6_17/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
17125000 17925000 i^n-i+d=e/A:0+4+1/B:04-xx_xx/C:13_xx+xx/D:20+3_2/E:3_3!0_xx-1/F:4_4#0_xx@3_5|6_17/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
17925000 18425000 n^i-d+e=k/A:-1+1+3/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@4_4|10_13/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
18425000 19225000 i^d-e+k=i/A:-1+1+3/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@4_4|10_13/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
19225000 19725000 d^e-k+i=r/A:0+2+2/B:13-xx_xx/C:20_3+2/D:22+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@4_4|10_13/G:3_2%0_xx_1/H:xx_xx/I:7-22@1+2&1-10|1+35/J:3_13/K:2+10-35
