0 2925000 xx^xx-sil+h=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_8/K:3+10-39
2925000 3425000 xx^sil-h+i=m/A:0+1+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_2|1_8/G:5_2%0_xx_1/H:xx_xx/I:2-8@1+3&1-10|1+39/J:4_17/K:3+10-39
3425000 4025000 sil^h-i+m=e/A:0+1+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_2|1_8/G:5_2%0_xx_1/H:xx_xx/I:2-8@1+3&1-10|1+39/J:4_17/K:3+10-39
4025000 4425000 h^i-m+e=y/A:1+2+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_2|1_8/G:5_2%0_xx_1/H:xx_xx/I:2-8@1+3&1-10|1+39/J:4_17/K:3+10-39
4425000 5024999 i^m-e+y=a/A:1+2+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_2|1_8/G:5_2%0_xx_1/H:xx_xx/I:2-8@1+3&1-10|1+39/J:4_17/K:3+10-39
5024999 5425000 m^e-y+a=j/A:2+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_2|1_8/G:5_2%0_xx_1/H:xx_xx/I:2-8@1+3&1-10|1+39/J:4_17/K:3+10-39
5425000 6125000 e^y-a+j=i/A:2+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_2|1_8/G:5_2%0_xx_1/H:xx_xx/I:2-8@1+3&1-10|1+39/J:4_17/K:3+10-39
6125000 7325000 y^a-j+i=j/A:-1+1+5/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_1!0_xx-1/F:5_2#0_xx@2_1|4_5/G:6_3%0_xx_0/H:xx_xx/I:2-8@1+3&1-10|1+39/J:4_17/K:3+10-39
7325000 7925000 a^j-i+j=o/A:-1+1+5/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_1!0_xx-1/F:5_2#0_xx@2_1|4_5/G:6_3%0_xx_0/H:xx_xx/I:2-8@1+3&1-10|1+39/J:4_17/K:3+10-39
7925000 8625000 j^i-j+o=t/A:0+2+4/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_1!0_xx-1/F:5_2#0_xx@2_1|4_5/G:6_3%0_xx_0/H:xx_xx/I:2-8@1+3&1-10|1+39/J:4_17/K:3+10-39
8625000 9225000 i^j-o+t=a/A:0+2+4/B:23-xx_xx/C:02_xx+xx/D:15+xx_xx/E:3_1!0_xx-1/F:5_2#0_xx@2_1|4_5/G:6_3%0_xx_0/H:xx_xx/I:2-8@1+3&1-10|1+39/J:4_17/K:3+10-39
