0 3025000 xx^xx-sil+m=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_20/K:1+5-20
3025000 3725000 xx^sil-m+o=g/A:0+1+4/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_20/G:4_2%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
3725000 4525000 sil^m-o+g=o/A:0+1+4/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_20/G:4_2%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
4525000 4825000 m^o-g+o=m/A:1+2+3/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_20/G:4_2%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
4825000 5225000 o^g-o+m=o/A:1+2+3/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_20/G:4_2%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
5225000 6225000 g^o-m+o=g/A:2+3+2/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_20/G:4_2%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
6225000 6725000 o^m-o+g=o/A:2+3+2/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_20/G:4_2%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
6725000 7025000 m^o-g+o=sh/A:3+4+1/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_20/G:4_2%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
7025000 7524999 o^g-o+sh=i/A:3+4+1/B:xx-xx_xx/C:06_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_5|1_20/G:4_2%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
7524999 8625000 g^o-sh+i=n/A:-1+1+4/B:06-xx_xx/C:20_4+1/D:12+xx_xx/E:4_1!0_xx-1/F:4_2#0_xx@2_4|5_16/G:2_2%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
8625000 8925000 o^sh-i+n=a/A:-1+1+4/B:06-xx_xx/C:20_4+1/D:12+xx_xx/E:4_1!0_xx-1/F:4_2#0_xx@2_4|5_16/G:2_2%0_xx_1/H:xx_xx/I:5-20@1+1&1-5|1+20/J:xx_xx/K:1+5-20
