0 2725000 xx^xx-sil+k=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_24/K:1+7-24
2725000 3625000 xx^sil-k+o=r/A:-2+1+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_7|1_24/G:5_2%0_xx_1/H:xx_xx/I:7-24@1+1&1-7|1+24/J:xx_xx/K:1+7-24
3625000 4125000 sil^k-o+r=e/A:-2+1+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_7|1_24/G:5_2%0_xx_1/H:xx_xx/I:7-24@1+1&1-7|1+24/J:xx_xx/K:1+7-24
4125000 4825000 k^o-r+e=y/A:-1+2+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_7|1_24/G:5_2%0_xx_1/H:xx_xx/I:7-24@1+1&1-7|1+24/J:xx_xx/K:1+7-24
4825000 5525000 o^r-e+y=a/A:-1+2+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_7|1_24/G:5_2%0_xx_1/H:xx_xx/I:7-24@1+1&1-7|1+24/J:xx_xx/K:1+7-24
5525000 6225000 r^e-y+a=o/A:0+3+1/B:04-xx_xx/C:23_xx+xx/D:16+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_7|1_24/G:5_2%0_xx_1/H:xx_xx/I:7-24@1+1&1-7|1+24/J:xx_xx/K:1+7-24
6225000 7825000 e^y-a+o=m/A:0+3+1/B:04-xx_xx/C:23_xx+xx/D:16+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_7|1_24/G:5_2%0_xx_1/H:xx_xx/I:7-24@1+1&1-7|1+24/J:xx_xx/K:1+7-24
7825000 8325000 y^a-o+m=a/A:-1+1+5/B:23-xx_xx/C:16_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:5_2#0_xx@2_6|4_21/G:3_2%0_xx_1/H:xx_xx/I:7-24@1+1&1-7|1+24/J:xx_xx/K:1+7-24
8325000 9325000 a^o-m+a=ts/A:0+2+4/B:16-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_2#0_xx@2_6|4_21/G:3_2%0_xx_1/H:xx_xx/I:7-24@1+1&1-7|1+24/J:xx_xx/K:1+7-24
9325000 10125000 o^m-a+ts=u/A:0+2+4/B:16-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_2#0_xx@2_6|4_21/G:3_2%0_xx_1/H:xx_xx/I:7-24@1+1&1-7|1+24/J:xx_xx/K:1+7-24
10125000 10825000 m^a-ts+u=r/A:1+3+3/B:16-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_2#0_xx@2_6|4_21/G:3_2%0_xx_1/H:xx_xx/I:7-24@1+1&1-7|1+24/J:xx_xx/K:1+7-24
10825000 11225000 a^ts-u+r=i/A:1+3+3/B:16-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_2#0_xx@2_6|4_21/G:3_2%0_xx_1/H:xx_xx/I:7-24@1+1&1-7|1+24/J:xx_xx/K:1+7-24
11225000 11525000 ts^u-r+i=o/A:2+4+2/B:16-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:5_2#0_xx@2_6|4_21/G:3_2%0_xx_1/H:xx_xx/I:7-24@1+1&1-7|1+24/J:xx_xx/K:1+7-24
