0 4925000 xx^xx-sil+d=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_31/K:1+7-31
4925000 5725000 xx^sil-d+o=o/A:0+1+3/B:xx-xx_xx/C:06_xx+xx/D:19+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_7|1_31/G:5_5%0_xx_1/H:xx_xx/I:7-31@1+1&1-7|1+31/J:xx_xx/K:1+7-31
5725000 6925000 sil^d-o+o=m/A:0+1+3/B:xx-xx_xx/C:06_xx+xx/D:19+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_7|1_31/G:5_5%0_xx_1/H:xx_xx/I:7-31@1+1&1-7|1+31/J:xx_xx/K:1+7-31
6925000 7725000 d^o-o+m=o/A:1+2+2/B:xx-xx_xx/C:06_xx+xx/D:19+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_7|1_31/G:5_5%0_xx_1/H:xx_xx/I:7-31@1+1&1-7|1+31/J:xx_xx/K:1+7-31
7725000 8525000 o^o-m+o=k/A:2+3+1/B:xx-xx_xx/C:06_xx+xx/D:19+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_7|1_31/G:5_5%0_xx_1/H:xx_xx/I:7-31@1+1&1-7|1+31/J:xx_xx/K:1+7-31
8525000 9725000 o^m-o+k=i/A:2+3+1/B:xx-xx_xx/C:06_xx+xx/D:19+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_7|1_31/G:5_5%0_xx_1/H:xx_xx/I:7-31@1+1&1-7|1+31/J:xx_xx/K:1+7-31
9725000 10025000 m^o-k+i=m/A:-4+1+5/B:06-xx_xx/C:19_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_5#0_xx@2_6|4_28/G:2_2%0_xx_1/H:xx_xx/I:7-31@1+1&1-7|1+31/J:xx_xx/K:1+7-31
10025000 10825000 o^k-i+m=a/A:-4+1+5/B:06-xx_xx/C:19_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_5#0_xx@2_6|4_28/G:2_2%0_xx_1/H:xx_xx/I:7-31@1+1&1-7|1+31/J:xx_xx/K:1+7-31
10825000 11625000 k^i-m+a=g/A:-3+2+4/B:06-xx_xx/C:19_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_5#0_xx@2_6|4_28/G:2_2%0_xx_1/H:xx_xx/I:7-31@1+1&1-7|1+31/J:xx_xx/K:1+7-31
11625000 12225000 i^m-a+g=u/A:-3+2+4/B:06-xx_xx/C:19_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_5#0_xx@2_6|4_28/G:2_2%0_xx_1/H:xx_xx/I:7-31@1+1&1-7|1+31/J:xx_xx/K:1+7-31
12225000 12525000 m^a-g+u=r/A:-2+3+3/B:06-xx_xx/C:19_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_5#0_xx@2_6|4_28/G:2_2%0_xx_1/H:xx_xx/I:7-31@1+1&1-7|1+31/J:xx_xx/K:1+7-31
