0 4625000 xx^xx-sil+w=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_16/K:2+7-26
4625000 4925000 xx^sil-w+o=r/A:0+1+5/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_16/G:4_1%0_xx_1/H:xx_xx/I:4-16@1+2&1-7|1+26/J:3_10/K:2+7-26
4925000 5225000 sil^w-o+r=u/A:0+1+5/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_16/G:4_1%0_xx_1/H:xx_xx/I:4-16@1+2&1-7|1+26/J:3_10/K:2+7-26
5225000 5925000 w^o-r+u=t/A:1+2+4/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_16/G:4_1%0_xx_1/H:xx_xx/I:4-16@1+2&1-7|1+26/J:3_10/K:2+7-26
5925000 6925000 o^r-u+t=a/A:1+2+4/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_16/G:4_1%0_xx_1/H:xx_xx/I:4-16@1+2&1-7|1+26/J:3_10/K:2+7-26
6925000 7524999 r^u-t+a=a/A:2+3+3/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_16/G:4_1%0_xx_1/H:xx_xx/I:4-16@1+2&1-7|1+26/J:3_10/K:2+7-26
7524999 8725000 u^t-a+a=t/A:2+3+3/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_16/G:4_1%0_xx_1/H:xx_xx/I:4-16@1+2&1-7|1+26/J:3_10/K:2+7-26
8725000 9525000 t^a-a+t=o/A:3+4+2/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_16/G:4_1%0_xx_1/H:xx_xx/I:4-16@1+2&1-7|1+26/J:3_10/K:2+7-26
9525000 10625000 a^a-t+o=w/A:4+5+1/B:18-xx_xx/C:23_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_16/G:4_1%0_xx_1/H:xx_xx/I:4-16@1+2&1-7|1+26/J:3_10/K:2+7-26
10625000 11225000 a^t-o+w=o/A:4+5+1/B:18-xx_xx/C:23_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_4|1_16/G:4_1%0_xx_1/H:xx_xx/I:4-16@1+2&1-7|1+26/J:3_10/K:2+7-26
11225000 12525000 t^o-w+o=o/A:0+1+4/B:23-xx_xx/C:18_xx+xx/D:13+xx_xx/E:5_1!0_xx-1/F:4_1#0_xx@2_3|6_11/G:4_4%0_xx_1/H:xx_xx/I:4-16@1+2&1-7|1+26/J:3_10/K:2+7-26
12525000 13125000 o^w-o+o=d/A:0+1+4/B:23-xx_xx/C:18_xx+xx/D:13+xx_xx/E:5_1!0_xx-1/F:4_1#0_xx@2_3|6_11/G:4_4%0_xx_1/H:xx_xx/I:4-16@1+2&1-7|1+26/J:3_10/K:2+7-26
13125000 13625000 w^o-o+d=o/A:1+2+3/B:23-xx_xx/C:18_xx+xx/D:13+xx_xx/E:5_1!0_xx-1/F:4_1#0_xx@2_3|6_11/G:4_4%0_xx_1/H:xx_xx/I:4-16@1+2&1-7|1+26/J:3_10/K:2+7-26
13625000 13925000 o^o-d+o=g/A:2+3+2/B:23-xx_xx/C:18_xx+xx/D:13+xx_xx/E:5_1!0_xx-1/F:4_1#0_xx@2_3|6_11/G:4_4%0_xx_1/H:xx_xx/I:4-16@1+2&1-7|1+26/J:3_10/K:2+7-26
13925000 14524999 o^d-o+g=a/A:2+3+2/B:23-xx_xx/C:18_xx+xx/D:13+xx_xx/E:5_1!0_xx-1/F:4_1#0_xx@2_3|6_11/G:4_4%0_xx_1/H:xx_xx/I:4-16@1+2&1-7|1+26/J:3_10/K:2+7-26
