0 3125000 xx^xx-sil+d=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:08+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_2/K:3+10-32
3125000 3625000 xx^sil-d+a=g/A:0+1+2/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_1#0_xx@1_1|1_2/G:2_1%0_xx_0/H:xx_xx/I:1-2@1+3&1-10|1+32/J:6_20/K:3+10-32
3625000 4725000 sil^d-a+g=a/A:0+1+2/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_1#0_xx@1_1|1_2/G:2_1%0_xx_0/H:xx_xx/I:1-2@1+3&1-10|1+32/J:6_20/K:3+10-32
4725000 5125000 d^a-g+a=pau/A:1+2+1/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_1#0_xx@1_1|1_2/G:2_1%0_xx_0/H:xx_xx/I:1-2@1+3&1-10|1+32/J:6_20/K:3+10-32
5125000 6525000 a^g-a+pau=ky/A:1+2+1/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_1#0_xx@1_1|1_2/G:2_1%0_xx_0/H:xx_xx/I:1-2@1+3&1-10|1+32/J:6_20/K:3+10-32
6525000 8325000 g^a-pau+ky=o/A:xx+xx+xx/B:08-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:2_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_1%0_xx_xx/H:1_2/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_20/K:3+10-32
8325000 9225000 a^pau-ky+o=o/A:0+1+2/B:08-xx_xx/C:02_xx+xx/D:04+xx_xx/E:2_1!0_xx-0/F:2_1#0_xx@1_6|1_20/G:4_4%0_xx_1/H:1_2/I:6-20@2+2&2-9|3+30/J:3_10/K:3+10-32
9225000 10125000 pau^ky-o+o=o/A:0+1+2/B:08-xx_xx/C:02_xx+xx/D:04+xx_xx/E:2_1!0_xx-0/F:2_1#0_xx@1_6|1_20/G:4_4%0_xx_1/H:1_2/I:6-20@2+2&2-9|3+30/J:3_10/K:3+10-32
10125000 12125000 ky^o-o+o=m/A:1+2+1/B:08-xx_xx/C:02_xx+xx/D:04+xx_xx/E:2_1!0_xx-0/F:2_1#0_xx@1_6|1_20/G:4_4%0_xx_1/H:1_2/I:6-20@2+2&2-9|3+30/J:3_10/K:3+10-32
12125000 14125000 o^o-o+m=a/A:-3+1+4/B:02-xx_xx/C:04_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:4_4#0_xx@2_5|3_18/G:3_3%0_xx_1/H:1_2/I:6-20@2+2&2-9|3+30/J:3_10/K:3+10-32
14125000 15425000 o^o-m+a=e/A:-2+2+3/B:02-xx_xx/C:04_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:4_4#0_xx@2_5|3_18/G:3_3%0_xx_1/H:1_2/I:6-20@2+2&2-9|3+30/J:3_10/K:3+10-32
15425000 16025000 o^m-a+e=g/A:-2+2+3/B:02-xx_xx/C:04_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:4_4#0_xx@2_5|3_18/G:3_3%0_xx_1/H:1_2/I:6-20@2+2&2-9|3+30/J:3_10/K:3+10-32
16025000 16325000 m^a-e+g=a/A:-1+3+2/B:02-xx_xx/C:04_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:4_4#0_xx@2_5|3_18/G:3_3%0_xx_1/H:1_2/I:6-20@2+2&2-9|3+30/J:3_10/K:3+10-32
16325000 17225000 a^e-g+a=k/A:0+4+1/B:04-xx_xx/C:13_xx+xx/D:04+xx_xx/E:2_1!0_xx-1/F:4_4#0_xx@2_5|3_18/G:3_3%0_xx_1/H:1_2/I:6-20@2+2&2-9|3+30/J:3_10/K:3+10-32
17225000 18025000 e^g-a+k=o/A:0+4+1/B:04-xx_xx/C:13_xx+xx/D:04+xx_xx/E:2_1!0_xx-1/F:4_4#0_xx@2_5|3_18/G:3_3%0_xx_1/H:1_2/I:6-20@2+2&2-9|3+30/J:3_10/K:3+10-32
18025000 18825000 g^a-k+o=k/A:-2+1+3/B:13-xx_xx/C:04_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@3_4|7_14/G:6_2%0_xx_1/H:1_2/I:6-20@2+2&2-9|3+30/J:3_10/K:3+10-32
18825000 19325000 a^k-o+k=o/A:-2+1+3/B:13-xx_xx/C:04_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@3_4|7_14/G:6_2%0_xx_1/H:1_2/I:6-20@2+2&2-9|3+30/J:3_10/K:3+10-32
19325000 20025000 k^o-k+o=e/A:-1+2+2/B:13-xx_xx/C:04_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@3_4|7_14/G:6_2%0_xx_1/H:1_2/I:6-20@2+2&2-9|3+30/J:3_10/K:3+10-32
