0 3025000 xx^xx-sil+sh=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_22/K:1+4-22
3025000 4225000 xx^sil-sh+o=k/A:-1+1+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_22/G:4_4%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
4225000 4925000 sil^sh-o+k=u/A:-1+1+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_22/G:4_4%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
4925000 5325000 sh^o-k+u=ry/A:0+2+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_22/G:4_4%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
5325000 6125000 o^k-u+ry=o/A:0+2+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_22/G:4_4%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
6125000 6825000 k^u-ry+o=o/A:1+3+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_22/G:4_4%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
6825000 7825000 u^ry-o+o=n/A:1+3+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_22/G:4_4%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
7825000 8425000 ry^o-o+n=o/A:2+4+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_22/G:4_4%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
8425000 8825000 o^o-n+o=h/A:3+5+1/B:02-xx_xx/C:23_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_22/G:4_4%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
8825000 9725000 o^n-o+h=o/A:3+5+1/B:02-xx_xx/C:23_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_22/G:4_4%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
9725000 10625000 n^o-h+o=ky/A:-3+1+4/B:23-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:4_4#0_xx@2_3|6_17/G:7_1%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
10625000 12024999 o^h-o+ky=u/A:-3+1+4/B:23-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_2!0_xx-1/F:4_4#0_xx@2_3|6_17/G:7_1%0_xx_1/H:xx_xx/I:4-22@1+1&1-4|1+22/J:xx_xx/K:1+4-22
