0 3125000 xx^xx-sil+k=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_7/K:2+7-26
3125000 4125000 xx^sil-k+o=n/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_7/G:5_5%0_xx_1/H:xx_xx/I:2-7@1+2&1-7|1+26/J:5_19/K:2+7-26
4125000 4825000 sil^k-o+n=o/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_7/G:5_5%0_xx_1/H:xx_xx/I:2-7@1+2&1-7|1+26/J:5_19/K:2+7-26
4825000 5225000 k^o-n+o=h/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_7/G:5_5%0_xx_1/H:xx_xx/I:2-7@1+2&1-7|1+26/J:5_19/K:2+7-26
5225000 5825000 o^n-o+h=o/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_7/G:5_5%0_xx_1/H:xx_xx/I:2-7@1+2&1-7|1+26/J:5_19/K:2+7-26
5825000 6625000 n^o-h+o=o/A:-4+1+5/B:07-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_1|3_5/G:3_2%0_xx_0/H:xx_xx/I:2-7@1+2&1-7|1+26/J:5_19/K:2+7-26
6625000 7725000 o^h-o+o=s/A:-4+1+5/B:07-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_1|3_5/G:3_2%0_xx_0/H:xx_xx/I:2-7@1+2&1-7|1+26/J:5_19/K:2+7-26
7725000 8825000 h^o-o+s=e/A:-3+2+4/B:07-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_1|3_5/G:3_2%0_xx_0/H:xx_xx/I:2-7@1+2&1-7|1+26/J:5_19/K:2+7-26
8825000 9825000 o^o-s+e=k/A:-2+3+3/B:07-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_1|3_5/G:3_2%0_xx_0/H:xx_xx/I:2-7@1+2&1-7|1+26/J:5_19/K:2+7-26
9825000 10425000 o^s-e+k=i/A:-2+3+3/B:07-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_1|3_5/G:3_2%0_xx_0/H:xx_xx/I:2-7@1+2&1-7|1+26/J:5_19/K:2+7-26
10425000 11025000 s^e-k+i=w/A:-1+4+2/B:07-xx_xx/C:02_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_1|3_5/G:3_2%0_xx_0/H:xx_xx/I:2-7@1+2&1-7|1+26/J:5_19/K:2+7-26
