0 3425000 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:9_40/K:1+9-40
3425000 4325000 xx^sil-k+a=s/A:-2+1+5/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_9|1_40/G:4_4%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
4325000 4725000 sil^k-a+s=e/A:-2+1+5/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_9|1_40/G:4_4%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
4725000 5825000 k^a-s+e=e/A:-1+2+4/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_9|1_40/G:4_4%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
5825000 7325000 a^s-e+e=f/A:-1+2+4/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_9|1_40/G:4_4%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
7325000 8325000 s^e-e+f=u/A:0+3+3/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_9|1_40/G:4_4%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
8325000 8625000 e^e-f+u=w/A:1+4+2/B:02-xx_xx/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_9|1_40/G:4_4%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
8625000 9825000 e^f-u+w=a/A:1+4+2/B:02-xx_xx/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_9|1_40/G:4_4%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
9825000 10925000 f^u-w+a=y/A:2+5+1/B:15-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_9|1_40/G:4_4%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
10925000 11825000 u^w-a+y=a/A:2+5+1/B:15-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_9|1_40/G:4_4%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
11825000 12125000 w^a-y+a=s/A:-3+1+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_3!0_xx-1/F:4_4#0_xx@2_8|6_35/G:4_2%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
12125000 13325000 a^y-a+s=u/A:-3+1+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_3!0_xx-1/F:4_4#0_xx@2_8|6_35/G:4_2%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
13325000 13625000 y^a-s+u=m/A:-2+2+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_3!0_xx-1/F:4_4#0_xx@2_8|6_35/G:4_2%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
13625000 14424999 a^s-u+m=i/A:-2+2+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_3!0_xx-1/F:4_4#0_xx@2_8|6_35/G:4_2%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
14424999 14925000 s^u-m+i=n/A:-1+3+2/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_3!0_xx-1/F:4_4#0_xx@2_8|6_35/G:4_2%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
14925000 15425000 u^m-i+n=i/A:-1+3+2/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_3!0_xx-1/F:4_4#0_xx@2_8|6_35/G:4_2%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
15425000 15825000 m^i-n+i=o/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:19+xx_xx/E:5_3!0_xx-1/F:4_4#0_xx@2_8|6_35/G:4_2%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
15825000 17025000 i^n-i+o=sh/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:19+xx_xx/E:5_3!0_xx-1/F:4_4#0_xx@2_8|6_35/G:4_2%0_xx_1/H:xx_xx/I:9-40@1+1&1-9|1+40/J:xx_xx/K:1+9-40
