0 4625000 xx^xx-sil+k=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_14/K:2+8-38
4625000 5425000 xx^sil-k+o=n/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_4|1_14/G:4_1%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
5425000 5925000 sil^k-o+n=o/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_4|1_14/G:4_1%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
5925000 6525000 k^o-n+o=sh/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_4|1_14/G:4_1%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
6525000 6925000 o^n-o+sh=o/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_4|1_14/G:4_1%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
6925000 7925000 n^o-sh+o=m/A:0+1+4/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_1#0_xx@2_3|3_12/G:4_4%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
7925000 8525000 o^sh-o+m=o/A:0+1+4/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_1#0_xx@2_3|3_12/G:4_4%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
8525000 9025000 sh^o-m+o=ts/A:1+2+3/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_1#0_xx@2_3|3_12/G:4_4%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
9025000 9925000 o^m-o+ts=u/A:1+2+3/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_1#0_xx@2_3|3_12/G:4_4%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
9925000 10625000 m^o-ts+u=n/A:2+3+2/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_1#0_xx@2_3|3_12/G:4_4%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
10625000 10925000 o^ts-u+n=i/A:2+3+2/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_1#0_xx@2_3|3_12/G:4_4%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
10925000 11325000 ts^u-n+i=g/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:4_1#0_xx@2_3|3_12/G:4_4%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
11325000 12024999 u^n-i+g=o/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:4_1#0_xx@2_3|3_12/G:4_4%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
12024999 12725000 n^i-g+o=by/A:-3+1+4/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@3_2|7_8/G:4_1%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
12725000 13725000 i^g-o+by=u/A:-3+1+4/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@3_2|7_8/G:4_1%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
13725000 15025000 g^o-by+u=u/A:-2+2+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@3_2|7_8/G:4_1%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
15025000 15825000 o^by-u+u=g/A:-2+2+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@3_2|7_8/G:4_1%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
15825000 16125000 by^u-u+g=a/A:-1+3+2/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@3_2|7_8/G:4_1%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
16125000 16625000 u^u-g+a=a/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:4_1!0_xx-1/F:4_4#0_xx@3_2|7_8/G:4_1%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
16625000 17625000 u^g-a+a=cl/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:4_1!0_xx-1/F:4_4#0_xx@3_2|7_8/G:4_1%0_xx_1/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
17625000 18025000 g^a-a+cl=t/A:0+1+4/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@4_1|11_4/G:7_7%0_xx_0/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
18025000 18625000 a^a-cl+t=e/A:1+2+3/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@4_1|11_4/G:7_7%0_xx_0/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
18625000 19025000 a^cl-t+e=m/A:2+3+2/B:20-1_1/C:12_xx+xx/D:24+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@4_1|11_4/G:7_7%0_xx_0/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
19025000 19325000 cl^t-e+m=o/A:2+3+2/B:20-1_1/C:12_xx+xx/D:24+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@4_1|11_4/G:7_7%0_xx_0/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
19325000 20225000 t^e-m+o=pau/A:3+4+1/B:12-xx_xx/C:24_xx+xx/D:19+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@4_1|11_4/G:7_7%0_xx_0/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
20225000 21525000 e^m-o+pau=j/A:3+4+1/B:12-xx_xx/C:24_xx+xx/D:19+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@4_1|11_4/G:7_7%0_xx_0/H:xx_xx/I:4-14@1+2&1-8|1+38/J:4_24/K:2+8-38
21525000 22325000 m^o-pau+j=u/A:xx+xx+xx/B:24-xx_xx/C:xx_xx+xx/D:19+xx_xx/E:4_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:7_7%0_xx_xx/H:4_14/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_24/K:2+8-38
22325000 23525000 o^pau-j+u=N/A:-6+1+7/B:24-xx_xx/C:19_xx+xx/D:10+7_1/E:4_1!0_xx-0/F:7_7#0_xx@1_4|1_24/G:6_6%0_xx_1/H:4_14/I:4-24@2+1&5-4|15+24/J:xx_xx/K:2+8-38
