0 3125000 xx^xx-sil+k=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_18/K:1+5-18
3125000 3925000 xx^sil-k+o=N/A:-4+1+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
3925000 4525000 sil^k-o+N=p/A:-4+1+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
4525000 5225000 k^o-N+p=o/A:-3+2+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
5225000 6225000 o^N-p+o=N/A:-2+3+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
6225000 6625000 N^p-o+N=t/A:-2+3+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
6625000 7524999 p^o-N+t=o/A:-1+4+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
7524999 7925000 o^N-t+o=s/A:0+5+1/B:02-xx_xx/C:23_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
7925000 8425000 N^t-o+s=o/A:0+5+1/B:02-xx_xx/C:23_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_18/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
8425000 9825000 t^o-s+o=h/A:0+1+4/B:23-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@2_4|6_13/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
9825000 10125000 o^s-o+h=a/A:0+1+4/B:23-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@2_4|6_13/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
10125000 11225000 s^o-h+a=r/A:1+2+3/B:23-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@2_4|6_13/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
11225000 11625000 o^h-a+r=a/A:1+2+3/B:23-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_5!0_xx-1/F:4_1#0_xx@2_4|6_13/G:4_1%0_xx_1/H:xx_xx/I:5-18@1+1&1-5|1+18/J:xx_xx/K:1+5-18
