0 4625000 xx^xx-sil+b=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_5/K:2+6-26
4625000 5125000 xx^sil-b+o=s/A:0+1+5/B:xx-xx_xx/C:18_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:3_2%0_xx_0/H:xx_xx/I:1-5@1+2&1-6|1+26/J:5_21/K:2+6-26
5125000 5925000 sil^b-o+s=U/A:0+1+5/B:xx-xx_xx/C:18_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:3_2%0_xx_0/H:xx_xx/I:1-5@1+2&1-6|1+26/J:5_21/K:2+6-26
5925000 6725000 b^o-s+U=t/A:1+2+4/B:xx-xx_xx/C:18_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:3_2%0_xx_0/H:xx_xx/I:1-5@1+2&1-6|1+26/J:5_21/K:2+6-26
6725000 7025000 o^s-U+t=o/A:1+2+4/B:xx-xx_xx/C:18_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:3_2%0_xx_0/H:xx_xx/I:1-5@1+2&1-6|1+26/J:5_21/K:2+6-26
7025000 7825000 s^U-t+o=N/A:2+3+3/B:xx-xx_xx/C:18_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:3_2%0_xx_0/H:xx_xx/I:1-5@1+2&1-6|1+26/J:5_21/K:2+6-26
7825000 8625000 U^t-o+N=d/A:2+3+3/B:xx-xx_xx/C:18_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:3_2%0_xx_0/H:xx_xx/I:1-5@1+2&1-6|1+26/J:5_21/K:2+6-26
8625000 9425000 t^o-N+d=e/A:3+4+2/B:xx-xx_xx/C:18_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:3_2%0_xx_0/H:xx_xx/I:1-5@1+2&1-6|1+26/J:5_21/K:2+6-26
9425000 10025000 o^N-d+e=pau/A:4+5+1/B:18-xx_xx/C:13_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:3_2%0_xx_0/H:xx_xx/I:1-5@1+2&1-6|1+26/J:5_21/K:2+6-26
10025000 11625000 N^d-e+pau=t/A:4+5+1/B:18-xx_xx/C:13_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:3_2%0_xx_0/H:xx_xx/I:1-5@1+2&1-6|1+26/J:5_21/K:2+6-26
11625000 12825000 d^e-pau+t=o/A:xx+xx+xx/B:13-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:5_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_2%0_xx_xx/H:1_5/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_21/K:2+6-26
