0 6425000 xx^xx-sil+j=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_28/K:1+6-28
6425000 6925000 xx^sil-j+o=sh/A:-1+1+5/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_28/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
6925000 7524999 sil^j-o+sh=u/A:-1+1+5/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_28/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
7524999 8525000 j^o-sh+u=t/A:0+2+4/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_28/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
8525000 8825000 o^sh-u+t=a/A:0+2+4/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_28/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
8825000 9525000 sh^u-t+a=ch/A:1+3+3/B:02-xx_xx/C:15_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_28/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
9525000 10025000 u^t-a+ch=I/A:1+3+3/B:02-xx_xx/C:15_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_28/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
10025000 11125000 t^a-ch+I=t/A:2+4+2/B:02-xx_xx/C:15_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_28/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
11125000 11425000 a^ch-I+t=o/A:2+4+2/B:02-xx_xx/C:15_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_28/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
11425000 11924999 ch^I-t+o=m/A:3+5+1/B:15-xx_xx/C:23_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_28/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
11924999 12425000 I^t-o+m=i/A:3+5+1/B:15-xx_xx/C:23_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_6|1_28/G:4_1%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
12425000 13325000 t^o-m+i=cl/A:0+1+4/B:23-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_2!0_xx-1/F:4_1#0_xx@2_5|6_23/G:4_4%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
13325000 14025000 o^m-i+cl=ts/A:0+1+4/B:23-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_2!0_xx-1/F:4_1#0_xx@2_5|6_23/G:4_4%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
14025000 14925000 m^i-cl+ts=i/A:1+2+3/B:23-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_2!0_xx-1/F:4_1#0_xx@2_5|6_23/G:4_4%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
14925000 16225000 i^cl-ts+i=w/A:2+3+2/B:23-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_2!0_xx-1/F:4_1#0_xx@2_5|6_23/G:4_4%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
16225000 17925000 cl^ts-i+w=a/A:2+3+2/B:23-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_2!0_xx-1/F:4_1#0_xx@2_5|6_23/G:4_4%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
17925000 18725000 ts^i-w+a=s/A:3+4+1/B:18-xx_xx/C:24_xx+xx/D:20+1_1/E:5_2!0_xx-1/F:4_1#0_xx@2_5|6_23/G:4_4%0_xx_1/H:xx_xx/I:6-28@1+1&1-6|1+28/J:xx_xx/K:1+6-28
