0 425000 xx^xx-sil+s=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_5/K:2+11-38
425000 2025000 xx^sil-s+o=n/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_5/G:3_2%0_xx_1/H:xx_xx/I:2-5@1+2&1-11|1+38/J:9_33/K:2+11-38
2025000 2925000 sil^s-o+n=o/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_5/G:3_2%0_xx_1/H:xx_xx/I:2-5@1+2&1-11|1+38/J:9_33/K:2+11-38
2925000 3225000 s^o-n+o=i/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_5/G:3_2%0_xx_1/H:xx_xx/I:2-5@1+2&1-11|1+38/J:9_33/K:2+11-38
3225000 4225000 o^n-o+i=ch/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_2|1_5/G:3_2%0_xx_1/H:xx_xx/I:2-5@1+2&1-11|1+38/J:9_33/K:2+11-38
4225000 5325000 n^o-i+ch=i/A:-1+1+3/B:07-xx_xx/C:05_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@2_1|3_3/G:3_1%0_xx_0/H:xx_xx/I:2-5@1+2&1-11|1+38/J:9_33/K:2+11-38
5325000 6425000 o^i-ch+i=w/A:0+2+2/B:07-xx_xx/C:05_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@2_1|3_3/G:3_1%0_xx_0/H:xx_xx/I:2-5@1+2&1-11|1+38/J:9_33/K:2+11-38
6425000 6725000 i^ch-i+w=a/A:0+2+2/B:07-xx_xx/C:05_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@2_1|3_3/G:3_1%0_xx_0/H:xx_xx/I:2-5@1+2&1-11|1+38/J:9_33/K:2+11-38
6725000 7725000 ch^i-w+a=pau/A:1+3+1/B:05-xx_xx/C:24_xx+xx/D:18+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@2_1|3_3/G:3_1%0_xx_0/H:xx_xx/I:2-5@1+2&1-11|1+38/J:9_33/K:2+11-38
7725000 9425000 i^w-a+pau=m/A:1+3+1/B:05-xx_xx/C:24_xx+xx/D:18+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@2_1|3_3/G:3_1%0_xx_0/H:xx_xx/I:2-5@1+2&1-11|1+38/J:9_33/K:2+11-38
9425000 12125000 w^a-pau+m=e/A:xx+xx+xx/B:24-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:3_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:2_5/I:xx-xx@xx+xx&xx-xx|xx+xx/J:9_33/K:2+11-38
12125000 12625000 a^pau-m+e=e/A:0+1+3/B:24-xx_xx/C:18_xx+xx/D:05+xx_xx/E:3_2!0_xx-0/F:3_1#0_xx@1_9|1_33/G:4_1%0_xx_1/H:2_5/I:9-33@2+1&3-9|6+33/J:xx_xx/K:2+11-38
12625000 14025000 pau^m-e+e=j/A:0+1+3/B:24-xx_xx/C:18_xx+xx/D:05+xx_xx/E:3_2!0_xx-0/F:3_1#0_xx@1_9|1_33/G:4_1%0_xx_1/H:2_5/I:9-33@2+1&3-9|6+33/J:xx_xx/K:2+11-38
14025000 14825000 m^e-e+j=i/A:1+2+2/B:24-xx_xx/C:18_xx+xx/D:05+xx_xx/E:3_2!0_xx-0/F:3_1#0_xx@1_9|1_33/G:4_1%0_xx_1/H:2_5/I:9-33@2+1&3-9|6+33/J:xx_xx/K:2+11-38
14825000 15125000 e^e-j+i=s/A:2+3+1/B:24-xx_xx/C:18_xx+xx/D:05+xx_xx/E:3_2!0_xx-0/F:3_1#0_xx@1_9|1_33/G:4_1%0_xx_1/H:2_5/I:9-33@2+1&3-9|6+33/J:xx_xx/K:2+11-38
15125000 16125000 e^j-i+s=a/A:2+3+1/B:24-xx_xx/C:18_xx+xx/D:05+xx_xx/E:3_2!0_xx-0/F:3_1#0_xx@1_9|1_33/G:4_1%0_xx_1/H:2_5/I:9-33@2+1&3-9|6+33/J:xx_xx/K:2+11-38
16125000 17025000 j^i-s+a=N/A:0+1+4/B:18-xx_xx/C:05_xx+xx/D:05+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_8|4_30/G:5_2%0_xx_1/H:2_5/I:9-33@2+1&3-9|6+33/J:xx_xx/K:2+11-38
17025000 18325000 i^s-a+N=j/A:0+1+4/B:18-xx_xx/C:05_xx+xx/D:05+xx_xx/E:3_1!0_xx-1/F:4_1#0_xx@2_8|4_30/G:5_2%0_xx_1/H:2_5/I:9-33@2+1&3-9|6+33/J:xx_xx/K:2+11-38
