0 2824999 xx^xx-sil+o=t/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_12/K:2+7-24
2824999 4025000 xx^sil-o+t=o/A:-2+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_4|1_12/G:3_1%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
4025000 4625000 sil^o-t+o=k/A:-1+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_4|1_12/G:3_1%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
4625000 5325000 o^t-o+k=o/A:-1+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_4|1_12/G:3_1%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
5325000 5625000 t^o-k+o=g/A:0+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_4|1_12/G:3_1%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
5625000 6525000 o^k-o+g=a/A:0+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_4|1_12/G:3_1%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
6525000 6925000 k^o-g+a=my/A:1+4+1/B:02-xx_xx/C:13_xx+xx/D:19+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_4|1_12/G:3_1%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
6925000 7625000 o^g-a+my=o/A:1+4+1/B:02-xx_xx/C:13_xx+xx/D:19+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_4|1_12/G:3_1%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
7625000 9125000 g^a-my+o=o/A:0+1+3/B:13-xx_xx/C:19_xx+xx/D:10+7_3/E:4_3!0_xx-1/F:3_1#0_xx@2_3|5_8/G:3_3%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
9125000 9825000 a^my-o+o=n/A:0+1+3/B:13-xx_xx/C:19_xx+xx/D:10+7_3/E:4_3!0_xx-1/F:3_1#0_xx@2_3|5_8/G:3_3%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
9825000 10525000 my^o-o+n=a/A:1+2+2/B:13-xx_xx/C:19_xx+xx/D:10+7_3/E:4_3!0_xx-1/F:3_1#0_xx@2_3|5_8/G:3_3%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
10525000 11425000 o^o-n+a=k/A:2+3+1/B:19-xx_xx/C:10_7+3/D:02+xx_xx/E:4_3!0_xx-1/F:3_1#0_xx@2_3|5_8/G:3_3%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
11425000 12024999 o^n-a+k=a/A:2+3+1/B:19-xx_xx/C:10_7+3/D:02+xx_xx/E:4_3!0_xx-1/F:3_1#0_xx@2_3|5_8/G:3_3%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
12024999 12625000 n^a-k+a=o/A:-2+1+3/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_3#0_xx@3_2|8_5/G:2_2%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
12625000 13325000 a^k-a+o=o/A:-2+1+3/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_3#0_xx@3_2|8_5/G:2_2%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
13325000 14524999 k^a-o+o=sh/A:-1+2+2/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_3#0_xx@3_2|8_5/G:2_2%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
14524999 15725000 a^o-o+sh=I/A:0+3+1/B:02-xx_xx/C:13_xx+xx/D:20+4_1/E:3_1!0_xx-1/F:3_3#0_xx@3_2|8_5/G:2_2%0_xx_1/H:xx_xx/I:4-12@1+2&1-7|1+24/J:3_12/K:2+7-24
