0 2625000 xx^xx-sil+u=s/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_15/K:2+8-26
2625000 2925000 xx^sil-u+s=a/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_15/G:4_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
2925000 4125000 sil^u-s+a=g/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_15/G:4_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
4125000 4825000 u^s-a+g=i/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_15/G:4_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
4825000 5425000 s^a-g+i=n/A:-1+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_15/G:4_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
5425000 5925000 a^g-i+n=o/A:-1+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_15/G:4_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
5925000 6525000 g^i-n+o=k/A:0+4+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_15/G:4_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
6525000 7225000 i^n-o+k=i/A:0+4+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_15/G:4_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
7225000 8125000 n^o-k+i=cl/A:0+1+4/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@2_4|5_11/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
8125000 9225000 o^k-i+cl=d/A:0+1+4/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@2_4|5_11/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
9225000 10025000 k^i-cl+d=o/A:1+2+3/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_4!0_xx-1/F:4_1#0_xx@2_4|5_11/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+2&1-8|1+26/J:3_11/K:2+8-26
