0 3225000 xx^xx-sil+s=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:08+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_3/K:2+8-25
3225000 4625000 xx^sil-s+o=r/A:-2+1+3/B:xx-xx_xx/C:08_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:2_2%0_xx_0/H:xx_xx/I:1-3@1+2&1-8|1+25/J:7_22/K:2+8-25
4625000 5024999 sil^s-o+r=e/A:-2+1+3/B:xx-xx_xx/C:08_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:2_2%0_xx_0/H:xx_xx/I:1-3@1+2&1-8|1+25/J:7_22/K:2+8-25
5024999 5625000 s^o-r+e=n/A:-1+2+2/B:xx-xx_xx/C:08_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:2_2%0_xx_0/H:xx_xx/I:1-3@1+2&1-8|1+25/J:7_22/K:2+8-25
5625000 6525000 o^r-e+n=i/A:-1+2+2/B:xx-xx_xx/C:08_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:2_2%0_xx_0/H:xx_xx/I:1-3@1+2&1-8|1+25/J:7_22/K:2+8-25
6525000 7125000 r^e-n+i=pau/A:0+3+1/B:xx-xx_xx/C:08_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:2_2%0_xx_0/H:xx_xx/I:1-3@1+2&1-8|1+25/J:7_22/K:2+8-25
7125000 8725000 e^n-i+pau=k/A:0+3+1/B:xx-xx_xx/C:08_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_1|1_3/G:2_2%0_xx_0/H:xx_xx/I:1-3@1+2&1-8|1+25/J:7_22/K:2+8-25
8725000 9225000 n^i-pau+k=o/A:xx+xx+xx/B:08-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:3_3!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:1_3/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_22/K:2+8-25
9225000 10225000 i^pau-k+o=n/A:-1+1+2/B:08-xx_xx/C:07_xx+xx/D:22+xx_xx/E:3_3!0_xx-0/F:2_2#0_xx@1_7|1_22/G:3_1%0_xx_1/H:1_3/I:7-22@2+1&2-7|4+22/J:xx_xx/K:2+8-25
10225000 10725000 pau^k-o+n=o/A:-1+1+2/B:08-xx_xx/C:07_xx+xx/D:22+xx_xx/E:3_3!0_xx-0/F:2_2#0_xx@1_7|1_22/G:3_1%0_xx_1/H:1_3/I:7-22@2+1&2-7|4+22/J:xx_xx/K:2+8-25
10725000 11325000 k^o-n+o=h/A:0+2+1/B:08-xx_xx/C:07_xx+xx/D:22+xx_xx/E:3_3!0_xx-0/F:2_2#0_xx@1_7|1_22/G:3_1%0_xx_1/H:1_3/I:7-22@2+1&2-7|4+22/J:xx_xx/K:2+8-25
11325000 11825000 o^n-o+h=o/A:0+2+1/B:08-xx_xx/C:07_xx+xx/D:22+xx_xx/E:3_3!0_xx-0/F:2_2#0_xx@1_7|1_22/G:3_1%0_xx_1/H:1_3/I:7-22@2+1&2-7|4+22/J:xx_xx/K:2+8-25
11825000 12625000 n^o-h+o=o/A:0+1+3/B:07-xx_xx/C:22_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:3_1#0_xx@2_6|3_20/G:4_4%0_xx_1/H:1_3/I:7-22@2+1&2-7|4+22/J:xx_xx/K:2+8-25
