0 3625000 xx^xx-sil+h=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_23/K:1+7-23
3625000 4525000 xx^sil-h+a=s/A:-2+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_7|1_23/G:1_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
4525000 5225000 sil^h-a+s=a/A:-2+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_7|1_23/G:1_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
5225000 5925000 h^a-s+a=m/A:-1+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_7|1_23/G:1_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
5925000 6525000 a^s-a+m=i/A:-1+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_7|1_23/G:1_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
6525000 7125000 s^a-m+i=d/A:0+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_7|1_23/G:1_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
7125000 7725000 a^m-i+d=e/A:0+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_7|1_23/G:1_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
7725000 8025000 m^i-d+e=p/A:1+4+1/B:02-xx_xx/C:13_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_7|1_23/G:1_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
8025000 9125000 i^d-e+p=u/A:1+4+1/B:02-xx_xx/C:13_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_7|1_23/G:1_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
9125000 9825000 d^e-p+u=ts/A:0+1+1/B:13-xx_xx/C:09_xx+xx/D:06+xx_xx/E:4_3!0_xx-1/F:1_1#0_xx@2_6|5_19/G:3_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
9825000 10125000 e^p-u+ts=u/A:0+1+1/B:13-xx_xx/C:09_xx+xx/D:06+xx_xx/E:4_3!0_xx-1/F:1_1#0_xx@2_6|5_19/G:3_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
