0 5225000 xx^xx-sil+k=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:10_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_32/K:1+5-32
5225000 5825000 xx^sil-k+i=N/A:-4+1+10/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
5825000 6225000 sil^k-i+N=i/A:-4+1+10/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
6225000 7524999 k^i-N+i=ts/A:-3+2+9/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
7524999 8525000 i^N-i+ts=u/A:-2+3+8/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
8525000 9425000 N^i-ts+u=i/A:-1+4+7/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
9425000 9725000 i^ts-u+i=z/A:-1+4+7/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
9725000 10925000 ts^u-i+z=a/A:0+5+6/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
10925000 11325000 u^i-z+a=k/A:1+6+5/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
11325000 11625000 i^z-a+k=a/A:1+6+5/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
11625000 12525000 z^a-k+a=y/A:2+7+4/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
12525000 13325000 a^k-a+y=a/A:2+7+4/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
13325000 14025000 k^a-y+a=d/A:3+8+3/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
14025000 14524999 a^y-a+d=e/A:3+8+3/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
14524999 14925000 y^a-d+e=w/A:4+9+2/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:10_5#0_xx@1_5|1_32/G:4_2%0_xx_1/H:xx_xx/I:5-32@1+1&1-5|1+32/J:xx_xx/K:1+5-32
