0 1724999 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_17/K:1+4-17
1724999 2824999 xx^sil-k+a=e/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_4|1_17/G:4_1%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
2824999 3725000 sil^k-a+e=r/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_4|1_17/G:4_1%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
3725000 4225000 k^a-e+r=u/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_4|1_17/G:4_1%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
4225000 4625000 a^e-r+u=g/A:-1+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_4|1_17/G:4_1%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
4625000 5325000 e^r-u+g=a/A:-1+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_4|1_17/G:4_1%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
5325000 5825000 r^u-g+a=py/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_4|1_17/G:4_1%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
5825000 6525000 u^g-a+py=o/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_4|1_17/G:4_1%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
6525000 7625000 g^a-py+o=k/A:0+1+4/B:13-xx_xx/C:06_xx+xx/D:20+1_1/E:4_4!0_xx-1/F:4_1#0_xx@2_3|5_13/G:6_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
7625000 8125000 a^py-o+k=o/A:0+1+4/B:13-xx_xx/C:06_xx+xx/D:20+1_1/E:4_4!0_xx-1/F:4_1#0_xx@2_3|5_13/G:6_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
8125000 8625000 py^o-k+o=py/A:1+2+3/B:13-xx_xx/C:06_xx+xx/D:20+1_1/E:4_4!0_xx-1/F:4_1#0_xx@2_3|5_13/G:6_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
8625000 9625000 o^k-o+py=o/A:1+2+3/B:13-xx_xx/C:06_xx+xx/D:20+1_1/E:4_4!0_xx-1/F:4_1#0_xx@2_3|5_13/G:6_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
9625000 10225000 k^o-py+o=k/A:2+3+2/B:13-xx_xx/C:06_xx+xx/D:20+1_1/E:4_4!0_xx-1/F:4_1#0_xx@2_3|5_13/G:6_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
10225000 10725000 o^py-o+k=o/A:2+3+2/B:13-xx_xx/C:06_xx+xx/D:20+1_1/E:4_4!0_xx-1/F:4_1#0_xx@2_3|5_13/G:6_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
10725000 11025000 py^o-k+o=t/A:3+4+1/B:13-xx_xx/C:06_xx+xx/D:20+1_1/E:4_4!0_xx-1/F:4_1#0_xx@2_3|5_13/G:6_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
11025000 11725000 o^k-o+t=o/A:3+4+1/B:13-xx_xx/C:06_xx+xx/D:20+1_1/E:4_4!0_xx-1/F:4_1#0_xx@2_3|5_13/G:6_4%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
11725000 12725000 k^o-t+o=b/A:-3+1+6/B:06-xx_xx/C:20_1+1/D:12+xx_xx/E:4_1!0_xx-1/F:6_4#0_xx@3_2|9_9/G:3_2%0_xx_1/H:xx_xx/I:4-17@1+1&1-4|1+17/J:xx_xx/K:1+4-17
