0 3925000 xx^xx-sil+s=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:13_9%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_36/K:1+5-36
3925000 4825000 xx^sil-s+o=p/A:-8+1+13/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:13_9#0_xx@1_5|1_36/G:8_5%0_xx_1/H:xx_xx/I:5-36@1+1&1-5|1+36/J:xx_xx/K:1+5-36
4825000 5525000 sil^s-o+p=u/A:-8+1+13/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:13_9#0_xx@1_5|1_36/G:8_5%0_xx_1/H:xx_xx/I:5-36@1+1&1-5|1+36/J:xx_xx/K:1+5-36
5525000 5925000 s^o-p+u=r/A:-7+2+12/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:13_9#0_xx@1_5|1_36/G:8_5%0_xx_1/H:xx_xx/I:5-36@1+1&1-5|1+36/J:xx_xx/K:1+5-36
5925000 6225000 o^p-u+r=a/A:-7+2+12/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:13_9#0_xx@1_5|1_36/G:8_5%0_xx_1/H:xx_xx/I:5-36@1+1&1-5|1+36/J:xx_xx/K:1+5-36
6225000 6725000 p^u-r+a=n/A:-6+3+11/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:13_9#0_xx@1_5|1_36/G:8_5%0_xx_1/H:xx_xx/I:5-36@1+1&1-5|1+36/J:xx_xx/K:1+5-36
6725000 7524999 u^r-a+n=o/A:-6+3+11/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:13_9#0_xx@1_5|1_36/G:8_5%0_xx_1/H:xx_xx/I:5-36@1+1&1-5|1+36/J:xx_xx/K:1+5-36
7524999 7925000 r^a-n+o=k/A:-5+4+10/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:13_9#0_xx@1_5|1_36/G:8_5%0_xx_1/H:xx_xx/I:5-36@1+1&1-5|1+36/J:xx_xx/K:1+5-36
7925000 8825000 a^n-o+k=a/A:-5+4+10/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:13_9#0_xx@1_5|1_36/G:8_5%0_xx_1/H:xx_xx/I:5-36@1+1&1-5|1+36/J:xx_xx/K:1+5-36
8825000 9325000 n^o-k+a=sh/A:-4+5+9/B:02-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:13_9#0_xx@1_5|1_36/G:8_5%0_xx_1/H:xx_xx/I:5-36@1+1&1-5|1+36/J:xx_xx/K:1+5-36
9325000 9925000 o^k-a+sh=U/A:-4+5+9/B:02-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:13_9#0_xx@1_5|1_36/G:8_5%0_xx_1/H:xx_xx/I:5-36@1+1&1-5|1+36/J:xx_xx/K:1+5-36
