0 1125000 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_4/K:3+7-29
1125000 1925000 xx^sil-k+a=f/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_1|1_4/G:8_5%0_xx_0/H:xx_xx/I:1-4@1+3&1-7|1+29/J:2_10/K:3+7-29
1925000 2525000 sil^k-a+f=e/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_1|1_4/G:8_5%0_xx_0/H:xx_xx/I:1-4@1+3&1-7|1+29/J:2_10/K:3+7-29
2525000 3025000 k^a-f+e=t/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_1|1_4/G:8_5%0_xx_0/H:xx_xx/I:1-4@1+3&1-7|1+29/J:2_10/K:3+7-29
3025000 3925000 a^f-e+t=o/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_1|1_4/G:8_5%0_xx_0/H:xx_xx/I:1-4@1+3&1-7|1+29/J:2_10/K:3+7-29
3925000 4525000 f^e-t+o=w/A:2+3+2/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_1|1_4/G:8_5%0_xx_0/H:xx_xx/I:1-4@1+3&1-7|1+29/J:2_10/K:3+7-29
4525000 4825000 e^t-o+w=a/A:2+3+2/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_1|1_4/G:8_5%0_xx_0/H:xx_xx/I:1-4@1+3&1-7|1+29/J:2_10/K:3+7-29
4825000 5525000 t^o-w+a=pau/A:3+4+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_1|1_4/G:8_5%0_xx_0/H:xx_xx/I:1-4@1+3&1-7|1+29/J:2_10/K:3+7-29
5525000 7125000 o^w-a+pau=b/A:3+4+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_1|1_4/G:8_5%0_xx_0/H:xx_xx/I:1-4@1+3&1-7|1+29/J:2_10/K:3+7-29
7125000 7825000 w^a-pau+b=u/A:xx+xx+xx/B:24-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:4_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:8_5%0_xx_xx/H:1_4/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_10/K:3+7-29
7825000 8225000 a^pau-b+u=r/A:-4+1+8/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-0/F:8_5#0_xx@1_2|1_10/G:2_2%0_xx_1/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
8225000 8625000 pau^b-u+r=e/A:-4+1+8/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-0/F:8_5#0_xx@1_2|1_10/G:2_2%0_xx_1/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
8625000 9025000 b^u-r+e=cl/A:-3+2+7/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-0/F:8_5#0_xx@1_2|1_10/G:2_2%0_xx_1/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
9025000 10325000 u^r-e+cl=k/A:-3+2+7/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-0/F:8_5#0_xx@1_2|1_10/G:2_2%0_xx_1/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
10325000 10725000 r^e-cl+k=U/A:-2+3+6/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-0/F:8_5#0_xx@1_2|1_10/G:2_2%0_xx_1/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
10725000 11325000 e^cl-k+U=f/A:-1+4+5/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-0/F:8_5#0_xx@1_2|1_10/G:2_2%0_xx_1/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
11325000 11825000 cl^k-U+f=a/A:-1+4+5/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-0/F:8_5#0_xx@1_2|1_10/G:2_2%0_xx_1/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
11825000 12225000 k^U-f+a=s/A:0+5+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-0/F:8_5#0_xx@1_2|1_10/G:2_2%0_xx_1/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
12225000 13225000 U^f-a+s=U/A:0+5+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-0/F:8_5#0_xx@1_2|1_10/G:2_2%0_xx_1/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
13225000 14125000 f^a-s+U=t/A:1+6+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-0/F:8_5#0_xx@1_2|1_10/G:2_2%0_xx_1/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
14125000 14424999 a^s-U+t=o/A:1+6+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-0/F:8_5#0_xx@1_2|1_10/G:2_2%0_xx_1/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
14424999 14925000 s^U-t+o=t/A:2+7+2/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-0/F:8_5#0_xx@1_2|1_10/G:2_2%0_xx_1/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
14925000 15725000 U^t-o+t=o/A:2+7+2/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-0/F:8_5#0_xx@1_2|1_10/G:2_2%0_xx_1/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
15725000 16425000 t^o-t+o=sh/A:3+8+1/B:02-xx_xx/C:13_xx+xx/D:20+4_1/E:4_1!0_xx-0/F:8_5#0_xx@1_2|1_10/G:2_2%0_xx_1/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
16425000 16725000 o^t-o+sh=I/A:3+8+1/B:02-xx_xx/C:13_xx+xx/D:20+4_1/E:4_1!0_xx-0/F:8_5#0_xx@1_2|1_10/G:2_2%0_xx_1/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
16725000 17625000 t^o-sh+I=t/A:-1+1+2/B:13-xx_xx/C:20_4+1/D:12+xx_xx/E:8_5!0_xx-1/F:2_2#0_xx@2_1|9_2/G:5_2%0_xx_0/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
17625000 17925000 o^sh-I+t=e/A:-1+1+2/B:13-xx_xx/C:20_4+1/D:12+xx_xx/E:8_5!0_xx-1/F:2_2#0_xx@2_1|9_2/G:5_2%0_xx_0/H:1_4/I:2-10@2+2&2-6|5+25/J:4_15/K:3+7-29
