0 1525000 xx^xx-sil+d=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_17/K:1+5-17
1525000 1825000 xx^sil-d+o=k/A:0+1+5/B:xx-xx_xx/C:04_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_5|1_17/G:2_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
1825000 2525000 sil^d-o+k=o/A:0+1+5/B:xx-xx_xx/C:04_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_5|1_17/G:2_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
2525000 3125000 d^o-k+o=k/A:1+2+4/B:xx-xx_xx/C:04_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_5|1_17/G:2_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
3125000 3925000 o^k-o+k=a/A:1+2+4/B:xx-xx_xx/C:04_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_5|1_17/G:2_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
3925000 4525000 k^o-k+a=r/A:2+3+3/B:04-xx_xx/C:13_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_5|1_17/G:2_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
4525000 5125000 o^k-a+r=a/A:2+3+3/B:04-xx_xx/C:13_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_5|1_17/G:2_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
5125000 5525000 k^a-r+a=k/A:3+4+2/B:04-xx_xx/C:13_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_5|1_17/G:2_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
5525000 6125000 a^r-a+k=a/A:3+4+2/B:04-xx_xx/C:13_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_5|1_17/G:2_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
6125000 6725000 r^a-k+a=p/A:4+5+1/B:13-xx_xx/C:23_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_5|1_17/G:2_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
6725000 7325000 a^k-a+p=a/A:4+5+1/B:13-xx_xx/C:23_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_5|1_17/G:2_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
7325000 8225000 k^a-p+a=ch/A:-1+1+2/B:23-xx_xx/C:06_xx+xx/D:06+xx_xx/E:5_1!0_xx-1/F:2_2#0_xx@2_4|6_12/G:3_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
8225000 9025000 a^p-a+ch=i/A:-1+1+2/B:23-xx_xx/C:06_xx+xx/D:06+xx_xx/E:5_1!0_xx-1/F:2_2#0_xx@2_4|6_12/G:3_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
9025000 9725000 p^a-ch+i=p/A:0+2+1/B:23-xx_xx/C:06_xx+xx/D:06+xx_xx/E:5_1!0_xx-1/F:2_2#0_xx@2_4|6_12/G:3_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
9725000 10025000 a^ch-i+p=a/A:0+2+1/B:23-xx_xx/C:06_xx+xx/D:06+xx_xx/E:5_1!0_xx-1/F:2_2#0_xx@2_4|6_12/G:3_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
10025000 10625000 ch^i-p+a=ch/A:-1+1+3/B:06-xx_xx/C:06_xx+xx/D:23+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@3_3|8_10/G:3_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
10625000 11225000 i^p-a+ch=i/A:-1+1+3/B:06-xx_xx/C:06_xx+xx/D:23+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@3_3|8_10/G:3_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
11225000 12225000 p^a-ch+i=t/A:0+2+2/B:06-xx_xx/C:06_xx+xx/D:23+xx_xx/E:2_2!0_xx-1/F:3_2#0_xx@3_3|8_10/G:3_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
