0 1724999 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_23/K:1+6-23
1724999 2725000 xx^sil-k+a=r/A:0+1+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_6|1_23/G:4_3%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
2725000 3125000 sil^k-a+r=e/A:0+1+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_6|1_23/G:4_3%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
3125000 3425000 k^a-r+e=n/A:1+2+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_6|1_23/G:4_3%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
3425000 4325000 a^r-e+n=o/A:1+2+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_6|1_23/G:4_3%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
4325000 5024999 r^e-n+o=k/A:2+3+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_6|1_23/G:4_3%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
5024999 5625000 e^n-o+k=o/A:2+3+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_6|1_23/G:4_3%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
5625000 6425000 n^o-k+o=t/A:-2+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_3#0_xx@2_5|4_20/G:3_1%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
6425000 6925000 o^k-o+t=o/A:-2+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_3#0_xx@2_5|4_20/G:3_1%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
6925000 7524999 k^o-t+o=b/A:-1+2+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_3#0_xx@2_5|4_20/G:3_1%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
7524999 7825000 o^t-o+b=a/A:-1+2+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_3#0_xx@2_5|4_20/G:3_1%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
7825000 8425000 t^o-b+a=n/A:0+3+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:4_3#0_xx@2_5|4_20/G:3_1%0_xx_1/H:xx_xx/I:6-23@1+1&1-6|1+23/J:xx_xx/K:1+6-23
