0 3625000 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_20/K:1+6-20
3625000 4625000 xx^sil-k+a=i/A:-3+1+4/B:xx-xx_xx/C:03_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_20/G:3_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
4625000 5625000 sil^k-a+i=t/A:-3+1+4/B:xx-xx_xx/C:03_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_20/G:3_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
5625000 6525000 k^a-i+t=e/A:-2+2+3/B:xx-xx_xx/C:03_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_20/G:3_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
6525000 6925000 a^i-t+e=N/A:-1+3+2/B:xx-xx_xx/C:03_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_20/G:3_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
6925000 8025000 i^t-e+N=t/A:-1+3+2/B:xx-xx_xx/C:03_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_20/G:3_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
8025000 8625000 t^e-N+t=o/A:0+4+1/B:xx-xx_xx/C:03_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_20/G:3_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
8625000 9325000 e^N-t+o=o/A:0+1+3/B:03-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@2_5|5_16/G:4_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
9325000 10725000 N^t-o+o=sh/A:0+1+3/B:03-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@2_5|5_16/G:4_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
10725000 11725000 t^o-o+sh=o/A:1+2+2/B:03-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@2_5|5_16/G:4_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
11725000 12525000 o^o-sh+o=p/A:2+3+1/B:03-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@2_5|5_16/G:4_1%0_xx_1/H:xx_xx/I:6-20@1+1&1-6|1+20/J:xx_xx/K:1+6-20
